food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,nutrition_density
soy margarine,88,9.9,3.2,5.2,1.1,0.0,0.0,0.0,0.0,0.0,0.1,12.642
margarine with salt,100,11.3,2.1,5.4,3.4,0.017,0.0,0.031,0.0,0.0,0.1,13.618
margarine,102,11.5,2.2,5.5,3.5,0.018,0.0,0.037,0.0,0.0,0.091,13.719
salmon fish oil,123,13.6,2.7,3.9,5.5,0.0,0.0,0.0,0.0,66.0,0.0,13.6
nutmeg butter oil,1927,218.0,196.2,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0
almond butter,98,8.9,0.7,5.2,2.2,3.0,0.7,3.4,1.6,0.0,0.037,73.0
sour cream shoprite,60,5.0,3.5,1.0,1.0,1.0,0.014,0.0,0.0,0.0,0.0,6.0
ucuhuba butter oil,120,13.6,11.6,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,13.6
chicken fat,115,12.8,3.8,5.7,2.7,0.0,0.0,0.0,0.0,10.9,0.0,12.8
herring fish oil,123,13.6,2.9,7.7,2.1,0.0,0.0,0.0,0.0,104.2,0.0,13.6
bacon grease,39,4.3,1.7,1.9,0.5,0.0,0.0,0.0,0.0,4.1,0.009,4.3
turkey fat,45,5.0,1.5,2.1,1.2,0.0,0.0,0.0,0.0,5.1,0.0,5.0
beef tallow,115,12.8,6.4,5.4,0.5,0.0,0.0,0.0,0.0,14.0,0.0,12.8
goose fat,45,5.0,1.4,2.8,0.6,0.0,0.0,0.0,0.0,5.0,0.0,5.0
duck fat,44,5.0,1.7,2.5,0.6,0.0,0.0,0.0,0.0,5.0,0.0,5.0
mutton tallow,45,5.0,2.4,2.0,0.4,0.0,0.0,0.0,0.0,5.1,0.0,5.0
grapeseed oil,120,13.6,1.3,2.2,9.5,0.0,0.0,0.0,0.0,0.0,0.0,13.6
sheanut oil,1927,218.0,101.6,95.9,11.3,0.0,0.0,0.0,0.0,0.0,0.0,218.0
almond oil,120,13.6,1.1,9.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,13.6
